Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",C_Elec_6.3x7.7,2,100uF,C3035877
"C2, C4",0603,2,100nF,C14663
C5,0603,1,10nF,C57112
D1,D_SMA,1,SMAJ15CA,C19077536
D2,SOT-23,1,BAV99,C2500 
"D3, D4",0603,2,LED,C2286 
F1,Fuseholder_Blade_Mini_Keystone_3568,1,Fuse,
J1,Molex_Micro-Fit_3.0_43650-0300_1x03_P3.00mm_Horizontal,1,POWER,
J2,Molex_Micro-Fit_3.0_43650-0400_1x04_P3.00mm_Horizontal,1,SIGNALS,
J3,Molex_Micro-Fit_3.0_43650-0515_1x05_P3.00mm_Vertical,1,GAUGE 1,
J4,Molex_Micro-Fit_3.0_43650-0515_1x05_P3.00mm_Vertical,1,GAUGE 2,
J5,Molex_Micro-Fit_3.0_43650-0515_1x05_P3.00mm_Vertical,1,GAUGE 3,
J6,Molex_Micro-Fit_3.0_43650-0515_1x05_P3.00mm_Vertical,1,GAUGE 4,
J7,PinHeader_1x03_P2.54mm_Vertical,1,PROGRAM,
Q1,SOT-23,1,IRLML2502,C2589 
R1,0603,1,10k,C25804
R2,0603,1,6k8,C23212
"R3, R5",0603,2,1k,C21190
R4,0603,1,3k3,C22978
R6,0603,1,100k,C25803
R7,0603,1,100,C22775
R8,0603,1,4k7,C23162
TP4,TestPoint_Loop_D2.50mm_Drill1.0mm,1,+5V,
TP5,TestPoint_Loop_D2.50mm_Drill1.0mm,1,GND,
U1,SOT-89-3,1,HT75xx-1-SOT89,C16106
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,ATtiny402-SS,C2053235
